"0","n","v","c","f","a","e","y","g","m","s","r","w","b"
0,8.17464264477033e-09,0.522969541475729,0.000141111061812241,0.476796692597991,9.15760045631313e-05,1.01326218718472e-06,8.19881203964733e-09,8.19881199407323e-09,8.19881202411901e-09,8.19881880708965e-09,8.19881880496581e-09,8.19881262970198e-09,8.23018858371943e-09
0,2.23427576058894e-07,0.990208962931386,0.000233686263337941,0.00932365835964488,0.000231675966437034,2.29050908467725e-07,2.23428435755454e-07,2.2342843575239e-07,2.23428435753173e-07,2.2342843592924e-07,2.23428435929317e-07,2.23428435768902e-07,2.23430094425076e-07
0,1.42355752377708e-07,0.000320919830088332,0.000358381800631695,0.944529132387077,0.0198386422418345,0.0349515744484562,1.60759988345737e-07,1.60753553188188e-07,1.60759525304377e-07,1.62108592347558e-07,1.62107986164773e-07,1.60879956511454e-07,2.39566557762315e-07
0,5.03577526338619e-07,0.000785890306899403,0.000533852240387112,0.956514369657448,0.0403584771400462,0.00180307159206928,5.07153408157966e-07,5.07151435543738e-07,5.07153268393183e-07,5.07567299458189e-07,5.07567113244271e-07,5.0719022893097e-07,7.91702869517277e-07
0,2.82088305271344e-07,0.0018697122348159,0.000294840323169429,0.73293416628141,0.262868918165862,0.00202688410948102,2.91884960302644e-07,2.91884825430892e-07,2.91884950750634e-07,2.91913259822684e-07,2.91913247090355e-07,2.9188747790044e-07,3.4454282355344e-06
0,1.49405756376765e-07,0.00046768853461114,0.00219605805570142,0.851048581343902,0.0931305278848717,0.0531524212529136,3.05263562272307e-07,3.05262442529468e-07,3.05263483038946e-07,3.05498528606441e-07,3.05498422906694e-07,3.05284465549354e-07,2.74145133839948e-06
0,5.76590004700434e-08,0.000515146506812865,5.58907746504877e-05,0.538763785584923,0.459755718127133,0.000904253220994145,6.86573620200239e-08,6.86573457471855e-08,6.86573608701361e-08,6.86607770633463e-08,6.86607755273271e-08,6.86576658336191e-08,4.73617519993379e-06
0,2.63761485592628e-07,0.000519070981050208,5.47588254561529e-07,0.038568746286283,0.960023165907548,0.000616775662595516,2.64233364493351e-07,2.64233364413781e-07,2.64233364488175e-07,2.64233381292827e-07,2.64233381285413e-07,2.64233365988338e-07,0.000269844412560856
0,1.13860828941681e-07,0.00274763756964269,0.0168256607980616,0.657150137626387,0.105158164159096,0.218094017737382,2.07515588223299e-06,2.07515530884908e-06,2.07515584170892e-06,2.0752762119351e-06,2.07527615780088e-06,2.07516658715493e-06,1.18170626124312e-05
0,4.52199060291237e-08,0.0202734698693779,0.197738208449127,0.526603467463435,0.249664958663085,0.00569589567235518,3.1528460511034e-07,3.15284603309337e-07,3.15284604983149e-07,3.15284983087548e-07,3.1528498291771e-07,3.15284638736534e-07,2.20629542956324e-05
0,1.43588705758883e-07,1.98987828252843e-06,1.55458737006539e-07,0.00213381148154251,0.232424001501994,0.763952382976955,0.000700330353802285,0.000147788040324602,0.00014778809782682,0.000193945534836323,0.000147793117012253,0.000147788473736024,2.08149624495324e-06
0,5.47661210899507e-08,2.13268948829431e-07,5.54061411707147e-08,0.000268836080297629,0.158290546069828,0.839836331782095,0.00121365659481097,5.87163348908665e-05,5.87163458200925e-05,0.000155210488546432,5.87172999283556e-05,5.87164172805227e-05,2.29145291459502e-07
0,3.01763411867954e-07,3.18554264286289e-07,3.01932249441942e-07,0.000350180799841398,0.00156356297001142,0.982053706297508,0.0132765193930637,0.000333705549847991,0.000333705555339786,0.00141996586949518,0.000333706034776268,0.000333705591248653,3.19688941799466e-07
0,1.42060122774477e-07,1.42356571414876e-07,1.42064606540222e-07,0.000142316743868904,0.000164426239448313,0.690218572908411,0.282830857738015,0.000262076427460617,0.000262076427688488,0.025594951781374,0.00026207644758323,0.000262076429178601,1.42375670913333e-07
0,1.26416138817482e-07,1.26428815341201e-07,1.26419799612938e-07,1.32365331731233e-06,1.3573009076184e-06,0.367077209153828,0.631998517733806,0.000162429457483138,0.000162429457497001,0.000271368636675495,0.000162429458707422,0.000162429457587663,1.2642543685811e-07
0,1.03715566273189e-09,1.03827317610161e-09,1.03765269474234e-09,1.08794945891377e-07,1.0904233206461e-07,0.496356754813618,0.503484886528089,3.07364662329024e-05,3.07364662334158e-05,3.5190805172172e-05,3.07364662782401e-05,3.07364662367732e-05,1.0377804310905e-09
0,5.06923530653701e-08,5.08001999279174e-08,5.07365497382883e-08,4.70257411850444e-05,4.85624672680381e-05,0.524554526851425,0.349083447910104,0.00052719742597351,0.000527197426060029,0.124157444329665,0.000527197433613717,0.000527197426625798,5.07589765221886e-08
0,4.486941208328e-08,4.48554797531699e-08,4.48587265508488e-08,1.94216675287912e-06,1.96314311522442e-06,0.0831805857795158,0.563991428172344,0.000947162337882346,0.000947162337944935,0.349035251931078,0.000947162343409043,0.000947162338354187,4.48659859309253e-08
0,1.22544018552678e-07,1.22548268152309e-07,1.22545879962508e-07,1.33485807655017e-07,1.33620406107919e-07,0.00684172048395909,0.98161577419501,0.000197111667384077,0.000197111667389805,0.0107533013601152,0.000197111667889892,0.000197111667427261,1.2254644379877e-07
0,1.60958581480545e-07,3.22850086087069e-06,1.66805770373601e-07,0.00116515914513857,0.217812731026517,0.780017400806398,0.000167717842476073,0.00016600180037587,0.000166001803065356,0.000166125829798243,0.000166002037854442,0.000166001820650503,3.30162251388347e-06
